scenario,category,value,hits,t_min,t_max,t_span_days,window_start,window_end,outside_window_pct,top_sourcetypes
s200_webapp_attack,domains,brewertalk.com,634712,2017-08-01T00:02:51+00:00,2017-08-31T23:59:45+00:00,31.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=634712
s200_webapp_attack,ips,172.31.4.249,625932,2017-08-01T00:02:51+00:00,2017-08-31T23:59:45+00:00,31.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=625932
s200_webapp_attack,domains,www.brewertalk.com,623063,2017-08-01T00:02:51+00:00,2017-08-31T23:59:45+00:00,31.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=623063
s200_webapp_attack,url_paths,/member.php,145767,2017-08-01T00:05:00+00:00,2017-08-31T23:59:13+00:00,31.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=145767
s200_webapp_attack,url_paths,/search.php,79649,2017-08-01T00:05:00+00:00,2017-08-31T23:59:13+00:00,31.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=79649
s200_webapp_attack,attack_signatures,1502408189,172,2017-08-15T23:35:50+00:00,2017-08-16T15:19:43+00:00,0.66,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=172
s200_webapp_attack,attack_signatures,updatexml,136,2017-08-16T15:24:49+00:00,2017-08-16T15:25:19+00:00,0.00,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=136
s200_webapp_attack,attack_signatures,tor browser 7.0.4,0,,,,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,
s300_ransomware,domains,eidk.duckdns.org,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s300_ransomware,domains,eidk.hopto.org,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s300_ransomware,files,frothly_marketing_campaign_q317.pptx.crypt,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s300_ransomware,files,got.s07e02.bots.bots.bots.mkv.crypt,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s300_ransomware,files,hr_mkraeusen.zip,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s300_ransomware,attack_signatures,.crypt,0,,,,2017-08-17T00:00:00+00:00,2017-08-21T00:00:00+00:00,,
s400_taedonggang_apt,ips,45.77.65.211,9786,2017-08-11T14:40:57+00:00,2017-08-16T15:25:19+00:00,5.03,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=9786
s400_taedonggang_apt,ips,52.42.208.228,4278,2017-08-01T00:18:00+00:00,2017-08-31T23:42:38+00:00,30.98,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,stream_http=4278
s400_taedonggang_apt,files,invoice.zip,0,,,,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,
s400_taedonggang_apt,files,winsys32.dll,0,,,,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,
s400_taedonggang_apt,files,나는_데이비드를_사랑한다.hwp,0,,,,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,
s400_taedonggang_apt,attack_signatures,912345678,0,,,,2017-08-02T00:00:00+00:00,2017-08-26T00:00:00+00:00,,
